,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,James Harden,28,HOU,500,500,1,100,0,0,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
1st,F,LeBron James,33,CLE,500,500,1,100,0,0,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221
1st,C,Anthony Davis,24,NOP,492,500,0.984,96,4,0,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
1st,G,Damian Lillard,27,POR,432,500,0.864,71,24,5,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
1st,F,Kevin Durant,29,GSW,426,500,0.852,63,37,0,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
2nd,F,Giannis Antetokounmpo,23,MIL,354,500,0.708,28,71,1,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
2nd,G,Russell Westbrook,29,OKC,322,500,0.644,24,63,13,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
2nd,C,Joel Embiid,23,PHI,294,500,0.588,11,78,5,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
2nd,F,LaMarcus Aldridge,32,SAS,236,500,0.472,2,68,22,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209
2nd,G,DeMar DeRozan,28,TOR,165,500,0.33,2,39,38,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
3rd,G,Stephen Curry,29,GSW,164,500,0.328,2,39,37,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
3rd,G,Victor Oladipo,25,IND,105,500,0.21,0,24,33,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
3rd,C,Karl-Anthony Towns,22,MIN,99,500,0.198,0,18,45,82,35.6,21.3,12.3,2.4,0.8,1.4,0.545,0.421,0.858,14,0.23
3rd,F,Jimmy Butler,28,MIN,81,500,0.162,1,8,52,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198
3rd,F,Paul George,27,OKC,54,500,0.108,0,4,42,79,36.6,21.9,5.7,3.3,2,0.5,0.43,0.401,0.822,8.9,0.147
ORV,G,Chris Paul,32,HOU,54,500,0.108,0,,,58,31.8,18.6,5.4,7.9,1.7,0.2,0.46,0.38,0.919,10.2,0.265
ORV,C,Rudy Gobert,25,UTA,51,500,0.102,0,,,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,,0.682,8.1,0.214
ORV,G,Kyrie Irving,25,BOS,42,500,0.084,0,,,60,32.2,24.4,3.8,5.1,1.1,0.3,0.491,0.408,0.889,8.9,0.222
ORV,F,Ben Simmons,21,PHI,36,500,0.072,0,,,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162
ORV,C,Al Horford,31,BOS,32,500,0.064,0,,,72,31.6,12.9,7.4,4.7,0.6,1.1,0.489,0.429,0.783,7.8,0.165
ORV,C,Nikola Jokić,22,DEN,28,500,0.056,0,,,75,32.6,18.5,10.7,6.1,1.2,0.8,0.499,0.396,0.85,10.7,0.211
ORV,C,Andre Drummond,24,DET,7,500,0.014,0,,,78,33.7,15,16,3,1.5,1.6,0.529,0,0.605,10.3,0.189
ORV,C,Clint Capela,23,HOU,6,500,0.012,0,,,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0,0.56,10.2,0.242
ORV,F,Draymond Green,27,GSW,6,500,0.012,0,,,70,32.7,11,7.6,7.3,1.4,1.3,0.454,0.301,0.775,6.1,0.127
ORV,G,Kyle Lowry,31,TOR,3,500,0.006,0,,,78,32.2,16.2,5.6,6.9,1.1,0.2,0.427,0.399,0.854,10.2,0.194
ORV,C,Steven Adams,24,OKC,2,500,0.004,0,,,76,32.7,13.9,9,1.2,1.2,1,0.629,0,0.559,9.7,0.187
ORV,G,Donovan Mitchell,21,UTA,2,500,0.004,0,,,79,33.4,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,5.2,0.095
ORV,G,Klay Thompson,27,GSW,2,500,0.004,0,,,73,34.3,20,3.8,2.5,0.8,0.5,0.488,0.44,0.837,4.9,0.094
ORV,F,Trevor Ariza,32,HOU,1,500,0.002,0,,,67,33.9,11.7,4.4,1.6,1.5,0.2,0.412,0.368,0.854,5.3,0.113
ORV,C,DeMarcus Cousins,27,NOP,1,500,0.002,0,,,48,36.2,25.2,12.9,5.4,1.6,1.6,0.47,0.354,0.746,4.7,0.13
ORV,C,Dwight Howard,32,CHO,1,500,0.002,0,,,81,30.4,16.6,12.5,1.3,0.6,1.6,0.555,0.143,0.574,6.8,0.132
ORV,F,Kevin Love,29,CLE,1,500,0.002,0,,,59,28,17.6,9.3,1.7,0.7,0.4,0.458,0.415,0.88,6.4,0.185
ORV,F,Kristaps Porziņģis,22,NYK,1,500,0.002,0,,,48,32.4,22.7,6.6,1.2,0.8,2.4,0.439,0.395,0.793,3.2,0.099
