"Year","Player","MVP_index","PTS","AST","TRB","BLK","STL","WS"
1986,"Larry Bird",2.17379331231156,25.8,6.8,9.8,0.6,2,15.8
1987,"Michael Jordan",2.44066806067501,37.1,4.6,5.2,1.5,2.9,16.9
1988,"Michael Jordan",2.58276385800657,35,5.9,5.5,1.6,3.2,21.2
1989,"Michael Jordan",2.5488659118652,32.5,8,8,0.8,2.9,19.8
1990,"Hakeem Olajuwon",2.47191461966645,24.3,2.9,14,4.6,2.1,11.2
1991,"David Robinson",2.41009684626005,25.6,2.5,13,3.9,1.5,17
1992,"David Robinson",2.38368051261746,23.2,2.7,12.2,4.5,2.3,13.9
1993,"Hakeem Olajuwon",2.64652075986719,26.1,3.5,13,4.2,1.8,15.8
1994,"David Robinson",2.77842758517763,29.8,4.8,10.7,3.3,1.7,20
1995,"David Robinson",2.64340069898322,27.6,2.9,10.8,3.2,1.7,17.5
1996,"David Robinson",2.41945769422589,25,3,12.2,3.3,1.4,18.3
1997,"Shaquille O'Neal",2.22999630333651,26.2,3.1,12.5,2.9,0.9,8
1998,"Shaquille O'Neal",2.35684155556658,28.3,2.4,11.4,2.4,0.7,10.2
1999,"Shaquille O'Neal",2.23578164442056,26.3,2.3,10.7,1.7,0.7,9
2000,"Shaquille O'Neal",2.56896204216307,29.7,3.8,13.6,3,0.5,18.6
2001,"Shaquille O'Neal",2.34272156913854,28.7,3.7,12.7,2.8,0.6,14.9
2002,"Tim Duncan",2.33121264091258,25.5,3.7,12.7,2.5,0.7,17.8
2003,"Tracy McGrady",2.41286346867294,32.1,5.5,6.5,0.8,1.7,16.1
2004,"Kevin Garnett",2.49241137229972,24.2,5,13.9,2.2,1.5,18.3
2005,"LeBron James",2.27403432435818,27.2,7.2,7.4,0.7,2.2,14.3
2006,"LeBron James",2.31854724079255,31.4,6.6,7,0.8,1.6,16.3
2007,"Kobe Bryant",2.15593186266618,31.6,5.4,5.7,0.5,1.4,13
2008,"LeBron James",2.43365894997864,30,7.2,7.9,1.1,1.8,15.2
2009,"LeBron James",2.46835407963399,28.4,7.2,7.6,1.1,1.7,20.3
2010,"LeBron James",2.52552045526887,29.7,8.6,7.3,1,1.6,18.5
2011,"LeBron James",2.35487980407505,26.7,7,7.5,0.6,1.6,15.6
2012,"LeBron James",2.41456717575839,27.1,6.2,7.9,0.8,1.9,14.5
2013,"LeBron James",2.54540883290918,26.8,7.3,8,0.9,1.7,19.3
2014,"Kevin Durant",2.40586796083097,32,5.5,7.4,0.7,1.3,19.2
2015,"Russell Westbrook",2.398288545578,28.1,8.6,7.3,0.2,2.1,10.6
2016,"Stephen Curry",2.27818060962529,30.1,6.7,5.4,0.2,2.1,17.9
2017,"Russell Westbrook",2.36232766033838,31.6,10.4,10.7,0.4,1.6,13.1
2018,"James Harden",2.29734934613554,30.4,8.8,5.4,0.7,1.8,15.4
2019,"James Harden",2.45658362609108,36.1,7.5,6.6,0.7,2,15.2
2020,"James Harden",2.26375124507074,34.3,7.5,6.6,0.9,1.8,13.1
2021,"Nikola Jokić",2.11986671350598,26.4,8.3,10.8,0.7,1.3,15.6
2022,"Nikola Jokić",2.26037909409988,27.1,7.9,13.8,0.9,1.5,15.2
2023,"Joel Embiid",2.15663918949515,33.1,4.2,10.2,1.7,1,12.3
2024,"Luka Dončić",2.20090390164787,33.9,9.8,9.2,0.5,1.4,12
