"# Tm","Pos","Player","Age","Tm","Pts Won","Pts Max","Share","1st Tm","2nd Tm","3rd Tm","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","avg_PTS","avg_AST","avg_TRB","avg_STL","avg_BLK","avg_WS","norm_PTS","norm_AST","norm_TRB","norm_STL","norm_BLK","norm_WS","MVP_index","Year"
"1st","F","Larry Bird",29,"BOS",156,156,1,78,0,NA,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.23642172523962,1.39939024390244,1.46187845303867,1.31707317073171,0.73972602739726,1.75772558714462,2.17379331231156,1986
"1st","G","Magic Johnson",26,"LAL",148,156,0.949,72,4,NA,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.900958466453674,2.59298780487805,0.880110497237569,1.05365853658537,0.246575342465753,1.34610630407911,1.92098068220882,1986
"1st","G","Isiah Thomas",24,"DET",130,156,0.833,56,18,NA,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.00159744408946,2.22256097560976,0.537016574585635,1.44878048780488,0.36986301369863,0.978986402966626,1.81988465341576,1986
"1st","F","Dominique Wilkins",26,"ATL",113,156,0.724,41,31,NA,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.45207667731629,0.535060975609756,1.17845303867403,1.18536585365854,0.73972602739726,1.20148331273177,1.96277153043933,1986
"1st","C","Kareem Abdul-Jabbar",38,"LAL",101,156,0.647,39,23,NA,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.12140575079872,0.720274390243902,0.909944751381215,0.526829268292683,1.97260273972603,1.20148331273177,1.73484508375689,1986
"2nd","C","Hakeem Olajuwon",23,"HOU",100,156,0.641,31,38,NA,68,36.3,23.5,11.5,2,2,3.4,0.526,NA,0.645,9.5,0.186,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.12619808306709,0.411585365853659,1.71546961325967,1.31707317073171,4.19178082191781,1.05686032138443,2.14213665870462,1986
"2nd","F","Charles Barkley",22,"PHI",71,156,0.455,19,33,NA,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.958466453674121,0.802591463414634,1.90939226519337,1.44878048780488,1.97260273972603,1.20148331273177,1.96712991475415,1986
"2nd","G","Sidney Moncrief",28,"MIL",66,156,0.423,12,42,NA,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.968051118210863,1.00838414634146,0.686187845303867,0.921951219512195,0.246575342465753,1.30160692212608,1.51017758699673,1986
"2nd","F","Alex English",32,"DEN",48,156,0.308,7,34,NA,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.42811501597444,0.823170731707317,0.74585635359116,0.592682926829268,0.493150684931507,1.0902348578492,1.80686737395763,1986
"2nd","G","Alvin Robertson",23,"SAS",40,156,0.256,7,26,NA,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.814696485623003,1.13185975609756,0.939779005524862,2.43658536585366,0.616438356164384,0.956736711990111,1.61847975790433,1986
